Customer Name,Value Stream 
AESTHETICS  LTD.,misc 
AESTHETICS  LTD.,misc 
Afrego Kenya Limited(Dr),misc 
AFRI PIPING SYSTEMS KENYA LTD,misc 
AGRISCOPE (AFRICA) LIMITED,misc 
Agro-Chemical AND Food Co. Ltd(Dr),misc 
Agventures Ltd(Dr),misc 
Alankar Manufacturers Limited(Dr),misc 
AMALO COMPANY LIMITED,misc 
Amiran Kenya Ltd(Dr),misc 
Angelica Industries Ltd(Dr),misc 
APPOLLO INDUSTRIES LTD,misc 
ARAX MILLS LTD,misc 
Ashut Engineers Ltd(Dr),misc 
Ashut Engineers Ltd(Dr),misc 
Associated Battery Manufacturers (E.A) Ltd(Dr),lube
Basco Products (K) Ltd.(Dr),misc 
Basf East Africa Limited(Dr),misc 
BAYER EAST AFRICA  LTD,misc 
BE ENERGY LIMITED,lube
Beiersdorf East Africa Ltd.(Dr),misc 
Bidco Africa Limited(Dr),edible
BIDCO OIL AND SOAP LTD,edible
Bid Trading Ltd(Dr),misc 
Biodeal Laboratories Ltd A-C 2(Dr),misc 
Bio-Medica Laboratory Supplies(Dr),misc 
BLOWPLAST (UGANDA) LTD,misc 
BLOWPLAST (UGANDA) LTD,misc 
Blue Ring Products Ltd.(Dr),misc 
BRENNTAG KENYA LTD,misc 
Brookside Dairy Ltd.(Dr),misc 
Canon Chemicals Ltd(Dr),misc 
Cash A-C To Pay Bpl 3(Dr),misc 
Cash A-C To Pay Bpl 3(Dr),misc 
Cash Sales-Bpl 2 Msa(Dr),misc 
Cash Sales-Bpl 2 Msa(Dr),misc 
Cash Sales Bpl 6(Dr),misc 
Cash Sales Bpl 6(Dr),misc 
City Farming Ltd(Dr),misc 
City General Stores Limited(Dr),misc 
Cooper K-Brands Limited(Dr),misc 
Cooper K-Brands Limited A-C 2(Dr),misc 
Cosmos Ltd A-C 2(Dr),misc 
CROWN PAINTS KENYA LTD(DR),misc 
CROWN PAINTS RWANDA LTD(DR),misc 
Darfords Industries Limited(Dr),edible
Dawa Limited A-C 2(Dr),misc 
DEEKAY RELIEF LTD,misc 
DEEKAY RELIEFT LTD - LOCAL,misc 
DENTEX INDUSTRIES LIMITED,misc 
Dera Chemical Industries (K) Ltd(Dr),misc 
Desbro (Kenya) Ltd(Dr),misc 
Diamond Industries Ltd(Dr),edible
DINLAS PHARMA EPZ LIMITED,misc 
Diversey Eastern AND Central Africa Ltd(Dr),misc 
EAST AFRICAN SEED CO. LTD,misc 
Ecolab East Africa(Dr),misc 
Edible Oil Products Ltd(Dr),edible
Elgon Kenya Ltd(Dr),misc 
FARMBASE LTD,misc 
FARMBASE LTD-KSHS,misc 
FARMERS CENTRE LTD,misc 
FARMERS CENTRE LTD,misc 
FARMERS CENTRE LTD (KSH),misc 
Fcs - Abdul Kadaar Ali Jumale(Dr),misc 
FCS - AFRICAN DIATOMITE INDUSTRIES,misc 
FCS - AGREVAL EAST AFRICA LIMITED,misc 
FCS - AGRICARE RESOURCES COM. LTD,misc 
Fcs - Avenue Hospital(Dr),misc 
FCS - BETA WORLD HOLDING,misc 
FCS - BITUTECH LIMITED,misc 
FCS - BORESHA AFRICA LTD,misc 
Fcs - Cenriva Traders Ltd(Dr),misc 
FCS - CHEMPLUS HOLDINGS LTD,misc 
FCS - CHIRAG AFRICA LIMITED(DR),misc 
